Country,Totally trust,Tend to trust,Tend not to trust,Do not trust at all,DK/NA,Total 'Trust',Total 'Do not trust'
UE29,0.02,0.24,0.36,0.18,0.20,0.26,0.54
BE,0.03,0.32,0.35,0.20,0.10,0.35,0.55
BG,0.03,0.28,0.29,0.15,0.25,0.31,0.44
CZ,0.02,0.25,0.36,0.10,0.27,0.27,0.46
DK,0.03,0.31,0.36,0.10,0.20,0.34,0.46
DE,0.02,0.15,0.40,0.20,0.23,0.17,0.60
EE,0.02,0.35,0.26,0.03,0.34,0.37,0.29
IE,0.02,0.29,0.36,0.16,0.17,0.31,0.52
EL,0.03,0.29,0.26,0.23,0.19,0.32,0.49
ES,0.03,0.24,0.42,0.23,0.08,0.27,0.65
FR,0.01,0.26,0.32,0.25,0.16,0.27,0.57
HR,0.02,0.38,0.29,0.07,0.24,0.40,0.36
IT,0.01,0.18,0.44,0.23,0.14,0.19,0.67
CY,0.05,0.33,0.28,0.15,0.19,0.38,0.43
LV,0.03,0.36,0.34,0.06,0.21,0.39,0.40
LT,0.01,0.32,0.24,0.05,0.38,0.33,0.29
LU,0.02,0.27,0.44,0.19,0.08,0.29,0.63
HU,0.03,0.25,0.27,0.11,0.34,0.28,0.38
MT,0.03,0.28,0.28,0.09,0.32,0.31,0.37
NL,0.03,0.35,0.39,0.08,0.15,0.38,0.47
AT,0.01,0.16,0.47,0.19,0.17,0.17,0.66
PL,0.01,0.33,0.33,0.10,0.23,0.34,0.43
PT,0.03,0.38,0.25,0.15,0.19,0.41,0.40
RO,0.05,0.34,0.20,0.13,0.28,0.39,0.33
SI,0.02,0.27,0.37,0.12,0.22,0.29,0.49
SK,0.04,0.32,0.31,0.10,0.23,0.36,0.41
FI,0.01,0.32,0.36,0.09,0.22,0.33,0.45
SE,0.01,0.24,0.40,0.13,0.22,0.25,0.53
UK,0.01,0.24,0.34,0.18,0.23,0.25,0.52