Country,Totally trust,Tend to trust,Tend not to trust,Do not trust at all,DKNA,Total 'Trust',Total 'Do not trust'
UE29,0.05,0.42,0.23,0.10,0.20,0.47,0.33
BE,0.09,0.53,0.20,0.09,0.09,0.62,0.29
BG,0.02,0.31,0.24,0.15,0.28,0.33,0.39
CZ,0.03,0.43,0.28,0.04,0.22,0.46,0.32
DK,0.11,0.60,0.11,0.01,0.17,0.71,0.12
DE,0.07,0.39,0.24,0.10,0.20,0.46,0.34
EE,0.04,0.56,0.15,0.01,0.24,0.60,0.16
IE,0.06,0.50,0.16,0.07,0.21,0.56,0.23
EL,0.04,0.40,0.23,0.17,0.16,0.44,0.40
ES,0.07,0.40,0.32,0.11,0.10,0.47,0.43
FR,0.04,0.44,0.21,0.14,0.17,0.48,0.35
HR,0.02,0.44,0.26,0.07,0.21,0.46,0.33
IT,0.05,0.39,0.27,0.15,0.14,0.44,0.42
CY,0.09,0.46,0.16,0.09,0.20,0.55,0.25
LV,0.04,0.48,0.23,0.04,0.21,0.52,0.27
LT,0.04,0.40,0.18,0.04,0.34,0.44,0.22
LU,0.06,0.59,0.20,0.07,0.08,0.65,0.27
HU,0.02,0.26,0.25,0.06,0.41,0.28,0.31
MT,0.08,0.33,0.13,0.03,0.43,0.41,0.16
NL,0.12,0.56,0.11,0.02,0.19,0.68,0.13
AT,0.05,0.45,0.28,0.08,0.14,0.50,0.36
PL,0.01,0.44,0.24,0.09,0.22,0.45,0.33
PT,0.05,0.50,0.12,0.09,0.24,0.55,0.21
RO,0.04,0.33,0.19,0.13,0.31,0.37,0.32
SI,0.03,0.38,0.26,0.05,0.28,0.41,0.31
SK,0.03,0.44,0.28,0.05,0.20,0.47,0.33
FI,0.08,0.58,0.12,0.03,0.19,0.66,0.15
SE,0.06,0.54,0.18,0.05,0.17,0.60,0.23
UK,0.04,0.42,0.17,0.07,0.30,0.46,0.24